10000;50000;100000;1000000;
10;50;101;1100;
9;47;99;1144;
13;49;112;1374;
9;50;115;1266;
9;49;99;1190;
9;145;115;1790;
12;52;104;1123;
11;50;101;1145;
10;51;102;1118;
9;49;101;1143;
10;53;101;1104;
9;50;100;1106;
9;49;101;1103;
10;53;103;1099;
9;49;100;1106;
9;49;101;1101;
9;49;102;1110;
9;48;101;1112;
9;49;100;1102;
9;49;101;1100;
9;49;105;1100;
9;49;100;1106;
9;49;102;1106;
10;49;100;1104;
10;49;100;1106;
9;49;101;1101;
9;48;101;1099;
9;49;101;1140;
9;49;100;1109;
9;48;100;1108;
9;48;102;1107;
9;48;100;1100;
9;49;101;1099;
9;48;100;1138;
10;48;101;1108;
9;49;100;1105;
9;49;100;1104;
9;50;101;1100;
9;50;100;1107;
9;48;100;1142;
9;49;100;1108;
10;49;100;1110;
9;49;100;1098;
9;49;100;1098;
9;49;99;1145;
9;50;101;1109;
9;49;160;1111;
9;49;100;1112;
9;49;100;1100;
9;48;101;1104;
9;49;100;1100;
9;49;101;1106;
9;50;100;1110;
9;49;99;1105;
9;49;101;1099;
9;50;104;1102;
9;48;100;1136;
9;49;99;1108;
9;49;101;1107;
9;48;100;1109;
9;50;101;1099;
9;49;101;1100;
9;49;100;1141;
9;49;101;1110;
9;49;100;1108;
9;49;100;1104;
10;49;100;1100;
9;48;101;1103;
9;49;99;1101;
9;49;101;1140;
9;49;100;1107;
9;49;101;1100;
10;49;104;1099;
9;49;100;1114;
9;49;100;1107;
9;49;100;1145;
9;49;100;1115;
8;49;100;1101;
9;49;102;1098;
9;49;100;1103;
9;49;99;1108;
10;49;100;1109;
9;49;99;1103;
9;83;102;1104;
9;50;100;1139;
9;49;100;1099;
9;50;100;1114;
9;50;100;1108;
9;49;100;1142;
9;49;101;1101;
9;54;100;1099;
9;48;100;1099;
9;49;101;1109;
9;48;100;1108;
9;50;101;1107;
9;49;100;1104;
9;49;104;1101;
10;48;101;1109;
9;49;100;1109;
9;50;100;1107;
