10000;50000;100000;1000000;
8;48;96;1074;
9;48;97;1074;
9;47;97;1076;
8;47;99;1078;
9;47;97;1080;
9;48;99;1079;
9;47;98;1082;
8;47;98;1111;
8;47;97;1079;
8;47;99;1078;
9;47;98;1077;
9;48;97;1078;
9;47;98;1075;
10;48;97;1078;
8;48;99;1080;
8;47;99;1113;
9;47;98;1077;
8;47;99;1079;
9;47;99;1078;
9;48;98;1071;
8;52;98;1076;
8;46;99;1079;
9;47;97;1078;
9;81;98;1079;
9;47;98;1076;
15;48;97;1073;
9;48;97;1075;
9;47;103;1074;
9;47;98;1074;
8;46;98;1072;
9;47;98;1071;
8;47;98;1072;
10;47;97;1073;
9;47;98;1077;
8;47;98;1075;
9;47;97;1073;
8;47;98;1076;
9;48;98;1079;
9;47;97;1075;
8;47;98;1073;
9;48;98;1075;
8;47;99;1080;
9;47;99;1079;
9;47;99;1078;
9;48;98;1110;
8;47;98;1080;
9;47;97;1077;
9;47;98;1074;
9;47;98;1075;
10;47;98;1074;
9;47;100;1075;
8;47;97;1075;
9;47;97;1073;
9;47;98;1072;
9;47;98;1072;
9;47;98;1074;
10;47;97;1073;
9;48;97;1076;
9;47;98;1075;
8;47;98;1073;
9;48;99;1073;
9;47;98;1070;
11;50;98;1072;
9;47;100;1073;
8;47;99;1079;
9;47;97;1075;
9;48;98;1074;
10;48;98;1116;
9;47;98;1075;
8;47;99;1086;
9;47;97;1078;
9;46;98;1072;
9;47;98;1072;
8;47;97;1072;
9;47;98;1071;
9;47;98;1070;
10;47;97;1073;
9;47;98;1072;
9;47;98;1073;
9;46;98;1107;
10;47;98;1435;
16;84;175;1261;
11;55;115;1264;
11;56;115;1335;
9;50;135;1121;
8;47;99;1085;
8;46;100;1114;
10;47;101;1079;
9;47;99;1077;
8;47;97;1080;
9;47;98;1112;
9;47;98;1079;
8;47;97;1076;
9;47;98;1079;
9;47;98;1139;
9;48;100;1113;
9;47;98;1076;
9;47;97;1079;
9;47;98;1077;
9;48;97;1113;
